municipality,lat,lon
Ale,57.925,12.086944444
Alingsås,57.933333333,12.533333333
Alvesta,56.9,14.55
Anderstorp,57.279888055,13.634358888
Aneby,57.833333333,14.8
Arboga,59.4,15.833333333
Arjeplog,66.033333333,17.95
Arvidsjaur,65.583333333,19.116666666
Arvika,59.65,12.583333333
Askersund,58.883333333,14.9
Avesta,60.145555555,16.168333333
Bengtsfors,59.033333333,12.216666666
Berg,62.766666666,14.45
Bjurholm,63.916666666,19.216666666
Bjuv,56.083333333,12.916666666
Boden,65.833333333,21.716666666
Bollebygd,57.666666666,12.566666666
Bollnäs,61.35,16.4
Borgholm,56.878055555,16.661666666
Borlänge,60.482777777,15.436388888
Borås,57.716666666,12.933333333
Botkyrka,59.2,17.833333333
Boxholm,58.196388888,15.051944444
Bromölla,56.05,14.466666666
Bräcke,62.75,15.416666666
Burlöv,55.633333333,13.066666666
Bygdeå,64.192013888,20.849513055
Båstad,56.416666666,12.866666666
Dals-Ed,58.916666666,11.916666666
Danderyd,59.4,18.083333333
Degerfors,59.233333333,14.433333333
Dorotea,64.266666666,16.416666666
Eda,59.883333333,12.283333333
Ekerö,59.35,17.683333333
Eksjö,57.666666666,14.966666666
Emmaboda,56.616666666,15.55
Enköping,59.635555555,17.076388888
Eskilstuna,59.370555555,16.512777777
Eslöv,55.833333333,13.3
Essunga,58.183333333,12.716666666
Fagersta,60.0,15.816666666
Falkenberg,56.916666666,12.5
Falköping,58.166666666,13.55
Falun,60.6,15.633333333
Filipstad,59.716666666,14.166666666
Finspång,58.709166666,15.786944444
Flen,59.058333333,16.588888888
Fors,63.013611111,16.656388888
Forshaga,59.533333333,13.466666666
Färgelanda,58.566666666,11.983333333
Gagnef,60.55,15.133333333
Gislaved,57.3,13.533333333
Gnesta,59.0475,17.312222222
Gnosjö,57.366666666,13.733333333
Grums,59.351666666,13.111388888
Grästorp,58.333333333,12.666666666
Gullspång,58.983333333,14.116666666
Gustav Adolf,60.068888888,13.865
Gällivare,67.133333333,20.65
Gävle,60.666666666,17.166666666
Göteborg,57.7,11.933333333
Götene,58.533333333,13.483333333
Habo,57.916666666,14.066666666
Hagfors,60.033333333,13.65
Hallsberg,59.066666666,15.116666666
Hallstahammar,59.616666666,16.25
Halmstad,56.666666666,12.85
Hammarö,59.333333333,13.433333333
Haninge,59.166666666,18.133333333
Haparanda,65.833333333,24.133333333
Heby,59.933333333,16.883333333
Hedemora,60.283333333,15.983333333
Helsingborg,56.05,12.716666666
Herrljunga,58.083333333,13.033333333
Hjo,58.3,14.283333333
Hofors,60.55,16.283333333
Holmsund,63.700191944,20.35259
Huddinge,59.233333333,17.983333333
Hudiksvall,61.733333333,17.116666666
Hultsfred,57.483333333,15.833333333
Hylte,57.0,13.25
Hällefors,59.766666666,14.516666666
Härjedalen,62.033333333,14.35
Härnösand,62.633333333,17.933333333
Härryda,57.666666666,12.116666666
Hässleholm,56.166666666,13.766666666
Håbo,59.567777777,17.529722222
Höganäs,56.2,12.566666666
Högsby,57.166666666,16.033333333
Hörby,55.85,13.65
Höör,55.933333333,13.55
Jokkmokk,66.616666666,19.833333333
Järfälla,59.433333333,17.833333333
Jönköping,57.783333333,14.2
Kalix,65.85,23.166666666
Kalmar,56.666666666,16.366666666
Karlsborg,58.533333333,14.516666666
Karlshamn,56.166666666,14.85
Karlskoga,59.325,14.525
Karlskrona,56.183333333,15.65
Karlstad,59.383333333,13.533333333
Katrineholm,58.995555555,16.206111111
Kils,59.5,13.316388888
Kinda,57.989166666,15.627222222
Kiruna,67.854722,20.222778
Klippan,56.133333333,13.133333333
Knivsta,59.716666666,17.8
Kramfors,62.932166666,17.777166666
Kristianstad,56.033333333,14.15
Kristinehamn,59.3,14.116666666
Krokom,63.316666666,14.5
Kumla,59.116666666,15.133333333
Kungsbacka,57.483333333,12.066666666
Kungsör,59.416666666,16.083333333
Kungälv,57.866666666,11.966666666
Kvidinge,56.133608055,13.054255
Kävlinge,55.8,13.116666666
Köping,59.513055555,15.998611111
Laholm,56.516666666,13.033333333
Landskrona,55.866666666,12.85
Laxå,58.988611111,14.6175
Lekeberg,59.166666666,14.866666666
Leksand,60.733333333,15.0
Lerum,57.766666666,12.3
Lessebo,56.75,15.266666666
Lidingö,59.36303,18.15096
Lidköping,58.5,13.183333333
Lilla Edet,58.133333333,12.133333333
Lindesberg,59.583333333,15.25
Linköping,58.4,15.616666666
Ljungby,56.833333333,13.933333333
Ljusdal,61.833333333,16.083333333
Ljusnarsberg,59.866666666,14.983333333
Lomma,55.666666666,13.083333333
Ludvika,60.133333333,15.183333333
Luleå,65.584444444,22.153888888
Lund,55.7,13.2
Lycksele,64.6,18.666666666
Lysekil,58.283333333,11.433333333
Malmö,55.565,13.018611111
Malung-Sälen,60.683333333,13.733333333
Malå,65.183333333,18.75
Mariestad,58.7,13.816666666
Markaryd,56.466666666,13.6
Marks,57.516666666,12.683333333
Mellerud,58.7,12.466666666
Mjölby,58.325,15.130555555
Mora,61.016666666,14.533333333
Motala,58.536388888,15.0375
